"generator";"input_length";"language_size";"depth";"time"
"Node class (Dictionary)";100;95;1;0.001874
"Node class (Dictionary)";100;95;2;0.000427
"Node class (Dictionary)";100;95;3;0.000383
"Node class (Dictionary)";100;95;4;0.000448
"Node class (Dictionary)";100;95;5;0.000516
"Node class (Dictionary)";100;95;6;0.000604
"Node class (Dictionary)";200;186;1;0.000581
"Node class (Dictionary)";200;186;2;0.000584
"Node class (Dictionary)";200;186;3;0.000726
"Node class (Dictionary)";200;186;4;0.000807
"Node class (Dictionary)";200;186;5;0.001079
"Node class (Dictionary)";200;186;6;0.001372
"Node class (Dictionary)";300;278;1;0.000962
"Node class (Dictionary)";300;278;2;0.001188
"Node class (Dictionary)";300;278;3;0.00165
"Node class (Dictionary)";300;278;4;0.002079
"Node class (Dictionary)";300;278;5;0.002383
"Node class (Dictionary)";300;278;6;0.002045
"Node class (Dictionary)";400;361;1;0.001273
"Node class (Dictionary)";400;361;2;0.001385
"Node class (Dictionary)";400;361;3;0.002149
"Node class (Dictionary)";400;361;4;0.002541
"Node class (Dictionary)";400;361;5;0.003071
"Node class (Dictionary)";400;361;6;0.003475
"Node class (Dictionary)";500;435;1;0.001819
"Node class (Dictionary)";500;435;2;0.001986
"Node class (Dictionary)";500;435;3;0.002506
"Node class (Dictionary)";500;435;4;0.003225
"Node class (Dictionary)";500;435;5;0.004547
"Node class (Dictionary)";500;435;6;0.004508
"Node class (Dictionary)";600;505;1;0.001204
"Node class (Dictionary)";600;505;2;0.001536
"Node class (Dictionary)";600;505;3;0.002025
"Node class (Dictionary)";600;505;4;0.003058
"Node class (Dictionary)";600;505;5;0.003211
"Node class (Dictionary)";600;505;6;0.003941
"Node class (Dictionary)";700;571;1;0.001388
"Node class (Dictionary)";700;571;2;0.001753
"Node class (Dictionary)";700;571;3;0.002266
"Node class (Dictionary)";700;571;4;0.002962
"Node class (Dictionary)";700;571;5;0.003377
"Node class (Dictionary)";700;571;6;0.004467
"Node class (Dictionary)";800;648;1;0.003008
"Node class (Dictionary)";800;648;2;0.001871
"Node class (Dictionary)";800;648;3;0.004441
"Node class (Dictionary)";800;648;4;0.004114
"Node class (Dictionary)";800;648;5;0.003949
"Node class (Dictionary)";800;648;6;0.004901
"Node class (Dictionary)";900;720;1;0.003835
"Node class (Dictionary)";900;720;2;0.002429
"Node class (Dictionary)";900;720;3;0.003455
"Node class (Dictionary)";900;720;4;0.004601
"Node class (Dictionary)";900;720;5;0.005233
"Node class (Dictionary)";900;720;6;0.007131
"Node class (Dictionary)";961;753;1;0.003273
"Node class (Dictionary)";961;753;2;0.004606
"Node class (Dictionary)";961;753;3;0.00321
"Node class (Dictionary)";961;753;4;0.004137
"Node class (Dictionary)";961;753;5;0.004747
"Node class (Dictionary)";961;753;6;0.005663
"Trie class (List)";100;95;1;0.001368
"Trie class (List)";100;95;2;0.001331
"Trie class (List)";100;95;3;0.001419
"Trie class (List)";100;95;4;0.001928
"Trie class (List)";100;95;5;0.001524
"Trie class (List)";100;95;6;0.001629
"Trie class (List)";200;186;1;0.006709
"Trie class (List)";200;186;2;0.006864
"Trie class (List)";200;186;3;0.0074
"Trie class (List)";200;186;4;0.007153
"Trie class (List)";200;186;5;0.007471
"Trie class (List)";200;186;6;0.007729
"Trie class (List)";300;278;1;0.013922
"Trie class (List)";300;278;2;0.014535
"Trie class (List)";300;278;3;0.015394
"Trie class (List)";300;278;4;0.015637
"Trie class (List)";300;278;5;0.016219
"Trie class (List)";300;278;6;0.017047
"Trie class (List)";400;361;1;0.025235
"Trie class (List)";400;361;2;0.025308
"Trie class (List)";400;361;3;0.025944
"Trie class (List)";400;361;4;0.026602
"Trie class (List)";400;361;5;0.027811
"Trie class (List)";400;361;6;0.037385
"Trie class (List)";500;435;1;0.035076
"Trie class (List)";500;435;2;0.036972
"Trie class (List)";500;435;3;0.038755
"Trie class (List)";500;435;4;0.039482
"Trie class (List)";500;435;5;0.040454
"Trie class (List)";500;435;6;0.042308
"Trie class (List)";600;505;1;0.052295
"Trie class (List)";600;505;2;0.052237
"Trie class (List)";600;505;3;0.052735
"Trie class (List)";600;505;4;0.053004
"Trie class (List)";600;505;5;0.055796
"Trie class (List)";600;505;6;0.053187
"Trie class (List)";700;571;1;0.062814
"Trie class (List)";700;571;2;0.064847
"Trie class (List)";700;571;3;0.064584
"Trie class (List)";700;571;4;0.067098
"Trie class (List)";700;571;5;0.067352
"Trie class (List)";700;571;6;0.070926
"Trie class (List)";800;648;1;0.080473
"Trie class (List)";800;648;2;0.082624
"Trie class (List)";800;648;3;0.084441
"Trie class (List)";800;648;4;0.08329
"Trie class (List)";800;648;5;0.08524
"Trie class (List)";800;648;6;0.086212
"Trie class (List)";900;720;1;0.108735
"Trie class (List)";900;720;2;0.100433
"Trie class (List)";900;720;3;0.102635
"Trie class (List)";900;720;4;0.106041
"Trie class (List)";900;720;5;0.104232
"Trie class (List)";900;720;6;0.107179
"Trie class (List)";961;753;1;0.077613
"Trie class (List)";961;753;2;0.071944
"Trie class (List)";961;753;3;0.072824
"Trie class (List)";961;753;4;0.074403
"Trie class (List)";961;753;5;0.073408
"Trie class (List)";961;753;6;0.097477
